item 1, 97.44, 97.59, "item 1"
item 2, 43.27, 37.11, "item 2"
item 3, 99.55, 58.55, "item 3"
item 4, 51.6, 34.47, "item 4"
item 5, 11.34, 68.76, "item 5"
item 6, 96, 43.93, "item 6"
item 7, 21.01, 16.46, "item 7"
item 8, 8.27, 66.23, "item 8"
item 9, 18.4, 3.53, "item 9"
item 10, 83.44, 85.91, "item 10"
item 11, 41.14, 92.45, "item 11"
item 12, 5.59, 55.16, "item 12"
item 13, 76.63, 6.39, "item 13"
item 14, 21.48, 79.58, "item 14"
item 15, 10.2, 1.28, "item 15"
item 16, 59.5, 52.32, "item 16"
item 17, 18.43, 9.54, "item 17"
item 18, 0.77, 27.3, "item 18"
item 19, 41.94, 88.54, "item 19"
item 20, 96.74, 70.53, "item 20"
item 21, 36.75, 93.9, "item 21"
item 22, 93.72, 78.93, "item 22"
item 23, 95.05, 37.56, "item 23"
item 24, 68.05, 10.34, "item 24"
item 25, 47.08, 83.59, "item 25"
item 26, 98.24, 25.45, "item 26"
item 27, 4.04, 81.09, "item 27"
item 28, 99.95, 2.62, "item 28"
item 29, 78.75, 32.65, "item 29"
item 30, 28.18, 49.97, "item 30"
item 31, 25.58, 49.29, "item 31"
item 32, 7.46, 5.62, "item 32"
item 33, 74.03, 48.54, "item 33"
item 34, 85, 86.53, "item 34"
item 35, 91.29, 10.82, "item 35"
item 36, 14.75, 19.32, "item 36"
item 37, 98.58, 21.2, "item 37"
item 38, 70.63, 62.01, "item 38"
item 39, 82.92, 88.54, "item 39"
item 40, 56.38, 5.05, "item 40"
item 41, 91.74, 52.06, "item 41"
item 42, 26.25, 21.66, "item 42"
item 43, 71.13, 56.57, "item 43"
item 44, 55.98, 23.22, "item 44"
item 45, 10.18, 2.01, "item 45"
item 46, 6.6, 63.49, "item 46"
item 47, 83.69, 50.22, "item 47"
item 48, 5.01, 27.04, "item 48"
item 49, 43.44, 2.55, "item 49"
item 50, 24.85, 32.08, "item 50"
item 51, 94.21, 45.59, "item 51"
item 52, 88.57, 75.2, "item 52"
item 53, 4.89, 99.15, "item 53"
item 54, 27.54, 47.05, "item 54"
item 55, 47.42, 90.34, "item 55"
item 56, 30.73, 51.25, "item 56"
item 57, 26.54, 21.12, "item 57"
item 58, 84.54, 66.66, "item 58"
item 59, 61.97, 92.32, "item 59"
item 60, 56.5, 2.78, "item 60"
item 61, 11.33, 96.98, "item 61"
item 62, 3.64, 11.93, "item 62"
item 63, 76.79, 97.79, "item 63"
item 64, 92.83, 38.05, "item 64"
item 65, 21.38, 59.55, "item 65"
item 66, 4.75, 1.63, "item 66"
item 67, 32.07, 15.66, "item 67"
item 68, 55.83, 43.22, "item 68"
item 69, 5.62, 9.92, "item 69"
item 70, 13.19, 73.58, "item 70"
item 71, 0.77, 69.65, "item 71"
item 72, 96.44, 7.8, "item 72"
item 73, 95.47, 34.3, "item 73"
item 74, 57.13, 92.59, "item 74"
item 75, 11.76, 84.78, "item 75"
item 76, 1.96, 71.44, "item 76"
item 77, 21.99, 93.16, "item 77"
item 78, 78.69, 70.51, "item 78"
item 79, 30.62, 39.98, "item 79"
item 80, 75.52, 29.83, "item 80"
item 81, 33, 26.47, "item 81"
item 82, 93.67, 48.74, "item 82"
item 83, 89.05, 43.42, "item 83"
item 84, 40.95, 62.63, "item 84"
item 85, 13.8, 44.46, "item 85"
item 86, 59.53, 18.51, "item 86"
item 87, 78.9, 12.15, "item 87"
item 88, 45.09, 71.28, "item 88"
item 89, 39.83, 97.86, "item 89"
item 90, 36.47, 79.49, "item 90"
item 91, 51.92, 62.78, "item 91"
item 92, 55.05, 39.69, "item 92"
item 93, 14.96, 46.88, "item 93"
item 94, 51.34, 61.99, "item 94"
item 95, 91.18, 44.72, "item 95"
item 96, 72.49, 55.58, "item 96"
item 97, 73.83, 72.97, "item 97"
item 98, 99.15, 63.18, "item 98"
item 99, 45.22, 72.81, "item 99"
item 100, 12.3, 55.42, "item 100"
item 101, 51.72, 2.59, "item 101"
item 102, 41.96, 72.73, "item 102"
item 103, 40.82, 40.73, "item 103"
item 104, 17.88, 80.83, "item 104"
item 105, 50.62, 37.08, "item 105"
item 106, 89.91, 88.23, "item 106"
item 107, 15.66, 22.1, "item 107"
item 108, 10.34, 59.42, "item 108"
item 109, 54.82, 7.72, "item 109"
item 110, 74.11, 45.81, "item 110"
item 111, 36.55, 90.65, "item 111"
item 112, 93.83, 47.82, "item 112"
item 113, 74.71, 0.29, "item 113"
item 114, 46.25, 16.39, "item 114"
item 115, 94.56, 16.29, "item 115"
item 116, 64.31, 99.86, "item 116"
item 117, 22.13, 18.1, "item 117"
item 118, 64.6, 42.82, "item 118"
item 119, 92.91, 18.7, "item 119"
item 120, 94.02, 47.9, "item 120"
item 121, 46.01, 77.65, "item 121"
item 122, 51.26, 18.42, "item 122"
item 123, 68.55, 84.92, "item 123"
item 124, 88.9, 9.92, "item 124"
item 125, 81.57, 56.18, "item 125"
item 126, 30.28, 32.32, "item 126"
item 127, 13.71, 82.81, "item 127"
item 128, 41.19, 60.61, "item 128"
item 129, 91.76, 35.17, "item 129"
item 130, 81.62, 31.88, "item 130"
item 131, 88.12, 26.85, "item 131"
item 132, 24.59, 29.05, "item 132"
item 133, 4.46, 8.84, "item 133"
item 134, 70.54, 77.65, "item 134"
item 135, 38.22, 78.01, "item 135"
item 136, 4.09, 11.04, "item 136"
item 137, 73.8, 52.02, "item 137"
item 138, 37.23, 91.32, "item 138"
item 139, 64.09, 84.24, "item 139"
item 140, 57.93, 8.95, "item 140"
item 141, 19.32, 66.27, "item 141"
item 142, 56.55, 21.88, "item 142"
item 143, 0.37, 93.38, "item 143"
item 144, 33.69, 36.94, "item 144"
item 145, 21.3, 48.6, "item 145"
item 146, 2.46, 80.63, "item 146"
item 147, 1.98, 94.93, "item 147"
item 148, 86.07, 54.4, "item 148"
item 149, 75.95, 51.84, "item 149"
item 150, 77.07, 20.12, "item 150"
item 151, 50.8, 72.49, "item 151"
