item 1, 47.49, 15.35, "item 1"
item 2, 29.31, 87.24, "item 2"
item 3, 56.32, 39.33, "item 3"
item 4, 28.04, 10.94, "item 4"
item 5, 72.41, 35.42, "item 5"
item 6, 35.33, 67.07, "item 6"
item 7, 29.65, 4.89, "item 7"
item 8, 86.34, 80.44, "item 8"
item 9, 60.08, 60.92, "item 9"
item 10, 72.63, 51.29, "item 10"
item 11, 1.12, 32.16, "item 11"
item 12, 62.04, 29.08, "item 12"
item 13, 5.56, 96.76, "item 13"
item 14, 22.36, 8.92, "item 14"
item 15, 6.67, 46.28, "item 15"
item 16, 95.59, 64.92, "item 16"
item 17, 73.71, 34.4, "item 17"
item 18, 53.83, 54.34, "item 18"
item 19, 4.4, 74.14, "item 19"
item 20, 30.34, 49.38, "item 20"
item 21, 39.61, 9.1, "item 21"
item 22, 60.41, 79, "item 22"
item 23, 53.29, 99.11, "item 23"
item 24, 85.1, 92.52, "item 24"
item 25, 65.78, 28.84, "item 25"
item 26, 68.12, 88.58, "item 26"
item 27, 52.22, 68.99, "item 27"
item 28, 51.26, 88.43, "item 28"
item 29, 69.6, 94.14, "item 29"
item 30, 26.75, 70.99, "item 30"
item 31, 5.46, 88.69, "item 31"
item 32, 36.63, 28.4, "item 32"
item 33, 59.54, 52.86, "item 33"
item 34, 18.3, 45.57, "item 34"
item 35, 5.44, 54.48, "item 35"
item 36, 3.38, 54.97, "item 36"
item 37, 43.58, 59.19, "item 37"
item 38, 42.45, 68.81, "item 38"
item 39, 49.05, 11.27, "item 39"
item 40, 72.25, 44.56, "item 40"
item 41, 38.48, 30.95, "item 41"
item 42, 63.86, 97.21, "item 42"
item 43, 28.24, 39.63, "item 43"
item 44, 90.39, 31.7, "item 44"
item 45, 33.36, 24.28, "item 45"
item 46, 31.08, 32.35, "item 46"
item 47, 61.1, 4.27, "item 47"
item 48, 84.99, 12.73, "item 48"
item 49, 86.02, 69.95, "item 49"
item 50, 1.79, 98.88, "item 50"
item 51, 54.47, 20.43, "item 51"
item 52, 50.09, 91.8, "item 52"
item 53, 55.71, 40.36, "item 53"
item 54, 34.14, 30.57, "item 54"
item 55, 13.86, 20.02, "item 55"
item 56, 38.7, 57.11, "item 56"
item 57, 0.63, 41.43, "item 57"
item 58, 29.02, 64.94, "item 58"
item 59, 41.98, 24.07, "item 59"
item 60, 57.59, 0.3, "item 60"
item 61, 93.89, 48.46, "item 61"
item 62, 32.97, 71.83, "item 62"
item 63, 91.76, 53.01, "item 63"
item 64, 87.01, 16.79, "item 64"
item 65, 36.33, 30.16, "item 65"
item 66, 36.47, 66.34, "item 66"
item 67, 64.76, 31.72, "item 67"
item 68, 72.53, 50.13, "item 68"
item 69, 69.65, 29.92, "item 69"
item 70, 27.45, 81.44, "item 70"
item 71, 71.29, 70.64, "item 71"
item 72, 61.42, 67.99, "item 72"
item 73, 18.61, 98.55, "item 73"
item 74, 84.76, 0.7, "item 74"
item 75, 92.96, 29.82, "item 75"
item 76, 80.58, 82.99, "item 76"
item 77, 15.51, 97.55, "item 77"
item 78, 21.28, 76.56, "item 78"
item 79, 13.77, 97.5, "item 79"
item 80, 78.61, 56.01, "item 80"
item 81, 85.7, 17.11, "item 81"
item 82, 11.6, 84.47, "item 82"
item 83, 10.89, 39.79, "item 83"
item 84, 78.98, 44.98, "item 84"
item 85, 97.52, 77.92, "item 85"
item 86, 63.87, 88.31, "item 86"
item 87, 20.93, 3.19, "item 87"
item 88, 16.79, 87.03, "item 88"
item 89, 5.24, 10.98, "item 89"
item 90, 20.72, 17.49, "item 90"
item 91, 22.85, 76.45, "item 91"
item 92, 56.26, 26.93, "item 92"
item 93, 38.41, 34.56, "item 93"
item 94, 98.91, 81.13, "item 94"
item 95, 3.51, 43.61, "item 95"
item 96, 11.24, 29.58, "item 96"
item 97, 16.36, 72.38, "item 97"
item 98, 2.56, 69.71, "item 98"
item 99, 96.83, 84.71, "item 99"
item 100, 16.09, 39.62, "item 100"
item 101, 91.07, 82.24, "item 101"
item 102, 69.62, 19.49, "item 102"
item 103, 12.64, 5.8, "item 103"
item 104, 19.01, 75.87, "item 104"
item 105, 47.16, 89.17, "item 105"
item 106, 36.51, 40.28, "item 106"
item 107, 96.15, 5.03, "item 107"
item 108, 95.31, 73.66, "item 108"
item 109, 12.44, 42.26, "item 109"
item 110, 30.52, 31.74, "item 110"
item 111, 84.18, 6.28, "item 111"
item 112, 2.7, 12.79, "item 112"
item 113, 57.5, 39.37, "item 113"
item 114, 24.84, 38.8, "item 114"
item 115, 48.98, 17.16, "item 115"
item 116, 26.01, 94.15, "item 116"
item 117, 87.87, 88.71, "item 117"
item 118, 15.97, 21.36, "item 118"
item 119, 45.9, 92.88, "item 119"
item 120, 83.46, 52.75, "item 120"
item 121, 57.32, 1.69, "item 121"
item 122, 8.24, 38.93, "item 122"
item 123, 5.7, 12.61, "item 123"
item 124, 91.87, 20.18, "item 124"
item 125, 55.73, 35.81, "item 125"
item 126, 15.28, 75.36, "item 126"
item 127, 37.62, 0.16, "item 127"
item 128, 13.04, 74.27, "item 128"
item 129, 50.18, 32.13, "item 129"
item 130, 13.05, 54.2, "item 130"
item 131, 34.25, 45.43, "item 131"
item 132, 28.51, 38.99, "item 132"
item 133, 82.55, 16.19, "item 133"
item 134, 4.46, 20.02, "item 134"
item 135, 94.15, 8.29, "item 135"
item 136, 15.07, 22.29, "item 136"
item 137, 52.38, 56.55, "item 137"
item 138, 80.03, 86.1, "item 138"
item 139, 3.26, 11.69, "item 139"
item 140, 18.13, 4.98, "item 140"
item 141, 38.42, 0.28, "item 141"
item 142, 84.64, 73.88, "item 142"
item 143, 41.17, 55.42, "item 143"
item 144, 45.42, 18.32, "item 144"
item 145, 37.28, 29.25, "item 145"
item 146, 24.92, 94.49, "item 146"
item 147, 3.14, 7.34, "item 147"
item 148, 28.13, 73.44, "item 148"
item 149, 22.91, 6.64, "item 149"
item 150, 77.14, 47.96, "item 150"
item 151, 54.03, 53.63, "item 151"
item 152, 21.73, 30.27, "item 152"
item 153, 55.19, 7.6, "item 153"
item 154, 80.47, 40.17, "item 154"
item 155, 55.05, 14.69, "item 155"
item 156, 43.99, 19.06, "item 156"
item 157, 91.31, 53.32, "item 157"
item 158, 25.11, 43.3, "item 158"
item 159, 29.4, 58.39, "item 159"
item 160, 72.05, 52.15, "item 160"
item 161, 78.47, 92.65, "item 161"
item 162, 70.29, 49.82, "item 162"
item 163, 57.77, 67.29, "item 163"
item 164, 46.26, 89.21, "item 164"
item 165, 31.21, 0.28, "item 165"
item 166, 51.87, 95.72, "item 166"
item 167, 19.79, 41.44, "item 167"
item 168, 52.66, 43.43, "item 168"
item 169, 22.19, 85.82, "item 169"
item 170, 64.17, 53.13, "item 170"
item 171, 22.38, 43.44, "item 171"
item 172, 81.65, 41.97, "item 172"
item 173, 39.61, 32.74, "item 173"
item 174, 25.93, 17.87, "item 174"
item 175, 81.02, 17.34, "item 175"
item 176, 84.99, 78.22, "item 176"
item 177, 90.09, 11.48, "item 177"
item 178, 65.16, 42.25, "item 178"
item 179, 44.98, 38.15, "item 179"
item 180, 78.33, 18.96, "item 180"
item 181, 50.28, 35.65, "item 181"
item 182, 82.53, 88.54, "item 182"
item 183, 82.54, 73.4, "item 183"
item 184, 61.74, 54.23, "item 184"
item 185, 95.9, 55.71, "item 185"
item 186, 78.23, 3.48, "item 186"
item 187, 67.15, 63.62, "item 187"
item 188, 55.29, 2.87, "item 188"
item 189, 61.59, 9.08, "item 189"
item 190, 51.92, 39.25, "item 190"
item 191, 30.64, 53.19, "item 191"
item 192, 72.07, 11.46, "item 192"
item 193, 10.16, 70.93, "item 193"
item 194, 10.62, 71.23, "item 194"
item 195, 74.39, 28.28, "item 195"
item 196, 75.91, 9.83, "item 196"
item 197, 14.73, 74.7, "item 197"
item 198, 44.28, 88.05, "item 198"
item 199, 54.59, 43.57, "item 199"
item 200, 95.98, 10.67, "item 200"
item 201, 82.31, 96.63, "item 201"
item 202, 53.77, 54.2, "item 202"
item 203, 82.45, 44.27, "item 203"
item 204, 95.64, 66.51, "item 204"
item 205, 72.28, 23.23, "item 205"
item 206, 41.18, 70.67, "item 206"
item 207, 5.6, 15.21, "item 207"
item 208, 17.78, 21.62, "item 208"
item 209, 88.28, 46.09, "item 209"
item 210, 96.94, 83.95, "item 210"
item 211, 61.46, 13.51, "item 211"
item 212, 53.82, 21.97, "item 212"
item 213, 47.18, 52.91, "item 213"
item 214, 43.83, 18.87, "item 214"
item 215, 18.76, 66.63, "item 215"
item 216, 8.8, 71.05, "item 216"
item 217, 53.37, 9.12, "item 217"
item 218, 22.43, 35.59, "item 218"
item 219, 48.11, 42.24, "item 219"
item 220, 59.66, 44.32, "item 220"
item 221, 32.16, 49.03, "item 221"
item 222, 27.84, 36.1, "item 222"
item 223, 87.79, 21.77, "item 223"
item 224, 29.11, 0.49, "item 224"
item 225, 0.6, 20.81, "item 225"
item 226, 32.49, 70.81, "item 226"
item 227, 95.55, 34.08, "item 227"
item 228, 22.3, 52.1, "item 228"
item 229, 79.42, 54.38, "item 229"
item 230, 54.7, 20.36, "item 230"
item 231, 2.71, 31.07, "item 231"
item 232, 98.49, 83.75, "item 232"
item 233, 74.39, 46.29, "item 233"
item 234, 57.85, 53.21, "item 234"
item 235, 11.3, 11.66, "item 235"
item 236, 75.13, 30.44, "item 236"
item 237, 80.86, 80.85, "item 237"
item 238, 89.86, 84.4, "item 238"
item 239, 0.45, 26.05, "item 239"
item 240, 86.47, 54.24, "item 240"
item 241, 89.71, 31.53, "item 241"
item 242, 97.82, 85.79, "item 242"
item 243, 33, 16.64, "item 243"
item 244, 44.1, 82, "item 244"
item 245, 98.58, 11.91, "item 245"
item 246, 77.45, 23.17, "item 246"
item 247, 78.25, 77.43, "item 247"
item 248, 71.55, 92.03, "item 248"
item 249, 56.51, 70.14, "item 249"
item 250, 42.19, 20.8, "item 250"
item 251, 92.05, 38.41, "item 251"
item 252, 10.31, 62.69, "item 252"
item 253, 95.84, 46.21, "item 253"
item 254, 21.71, 78.49, "item 254"
item 255, 20.03, 6.75, "item 255"
item 256, 19.54, 20.69, "item 256"
item 257, 29.65, 36.15, "item 257"
item 258, 24.6, 91.85, "item 258"
item 259, 15.18, 21.19, "item 259"
item 260, 16.63, 52.09, "item 260"
item 261, 18.37, 32.13, "item 261"
item 262, 24.95, 51.01, "item 262"
item 263, 85.64, 1.52, "item 263"
item 264, 31.06, 63.84, "item 264"
item 265, 34.12, 32.9, "item 265"
item 266, 57.66, 18.19, "item 266"
item 267, 13.85, 99.64, "item 267"
item 268, 68.55, 8.7, "item 268"
item 269, 76.1, 43.38, "item 269"
item 270, 32.21, 9.49, "item 270"
item 271, 12.96, 83.86, "item 271"
item 272, 8.15, 11.57, "item 272"
item 273, 15.78, 7.84, "item 273"
item 274, 99.66, 31.39, "item 274"
item 275, 11.59, 13.1, "item 275"
item 276, 79.1, 59.94, "item 276"
item 277, 75.26, 45.58, "item 277"
item 278, 32.61, 47.24, "item 278"
item 279, 82.93, 82.66, "item 279"
item 280, 90.08, 46.53, "item 280"
item 281, 67.33, 83.41, "item 281"
item 282, 2.97, 74.18, "item 282"
item 283, 59.2, 48.18, "item 283"
item 284, 7.94, 76.88, "item 284"
item 285, 50.85, 3.93, "item 285"
item 286, 67.23, 35.91, "item 286"
item 287, 97.47, 59.32, "item 287"
item 288, 8.2, 79.83, "item 288"
item 289, 79.8, 53.92, "item 289"
item 290, 94, 21.61, "item 290"
item 291, 87.88, 60.03, "item 291"
item 292, 44.61, 83.8, "item 292"
item 293, 49.61, 81.8, "item 293"
item 294, 93.69, 26.53, "item 294"
item 295, 20.26, 36.87, "item 295"
item 296, 10.04, 46.71, "item 296"
item 297, 69.37, 98.44, "item 297"
item 298, 34.88, 74.47, "item 298"
item 299, 50.19, 22.03, "item 299"
item 300, 85.9, 52.47, "item 300"
item 301, 13.21, 80.4, "item 301"
item 302, 57.42, 47.78, "item 302"
item 303, 30.44, 82.78, "item 303"
item 304, 2.48, 11.94, "item 304"
item 305, 29.61, 59.71, "item 305"
item 306, 16.76, 74.95, "item 306"
item 307, 98.95, 53.96, "item 307"
item 308, 57.33, 31.19, "item 308"
item 309, 11.97, 69.44, "item 309"
item 310, 19.48, 51.56, "item 310"
item 311, 39.19, 95.11, "item 311"
